City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cockburn Town,TC,21.4612,-71.1419,81.9,80,82,18.52,broken clouds
80,Rikitea,PF,-23.1203,-134.9692,72.77,78,17,4.21,few clouds
81,Kawalu,ID,-7.3817,108.2082,69.82,94,87,1.45,overcast clouds
82,Ocampo,MX,21.65,-101.5,79.84,24,61,11.88,broken clouds
83,Kargopol,RU,61.5071,38.9456,60.62,99,100,5.21,overcast clouds
84,Okhotsk,RU,59.3833,143.3,59.9,86,42,5.66,scattered clouds
85,Parrita,CR,9.5201,-84.3225,78.28,88,98,2.37,overcast clouds
86,Khatanga,RU,71.9667,102.5,45.66,64,80,12.88,broken clouds
87,Grand Gaube,MU,-20.0064,57.6608,70.38,67,95,8.01,overcast clouds
88,Norman Wells,CA,65.282,-126.8329,75.24,50,100,2.3,smoke
89,Saint-Denis,FR,48.9167,2.3333,74.08,57,0,13.8,clear sky
90,Derzhavinsk,KZ,51.1,66.3167,65.35,77,62,10.29,broken clouds
91,Lebu,CL,-37.6167,-73.65,49.66,81,4,6.96,clear sky
92,Torbay,CA,47.6666,-52.7314,66.76,60,20,23.02,few clouds
93,Sumbe,AO,-11.2061,13.8437,68.0,90,4,6.2,clear sky
94,Hithadhoo,MV,-0.6,73.0833,82.36,71,100,4.03,overcast clouds
95,Honiara,SB,-9.4333,159.95,79.09,75,87,4.38,overcast clouds
96,Zeya,RU,53.75,127.2667,58.87,99,47,4.81,scattered clouds
97,Geraldton,AU,-28.7667,114.6,46.81,87,23,3.44,few clouds
98,Henties Bay,NA,-22.116,14.2845,54.57,89,0,8.03,clear sky
99,Izhma,RU,65.0083,53.9113,61.79,60,48,4.41,scattered clouds
100,Hami,CN,42.8,93.45,81.54,22,100,12.08,overcast clouds
101,Harnosand,SE,62.6323,17.9379,55.42,87,17,8.21,few clouds
102,Kalemie,CD,-5.9475,29.1947,70.32,56,5,2.8,clear sky
103,Strelka,RU,58.0728,93.0344,59.63,98,1,3.18,clear sky
104,Yellowknife,CA,62.456,-114.3525,66.72,77,75,11.5,thunderstorm with light rain
105,Castro,BR,-24.7911,-50.0119,59.63,74,6,3.47,clear sky
106,Nizwa,OM,22.9333,57.5333,78.57,90,100,8.05,moderate rain
107,Burnie,AU,-41.0667,145.9167,51.94,75,100,14.12,overcast clouds
108,Acari,PE,-15.4311,-74.6158,69.57,64,92,7.99,overcast clouds
109,Severo-Kurilsk,RU,50.6789,156.125,60.91,74,100,5.68,overcast clouds
110,Saint-Philippe,RE,-21.3585,55.7679,62.19,76,37,13.6,scattered clouds
111,Sylvan Lake,CA,52.3168,-114.0853,71.17,44,0,6.91,clear sky
112,Bandarbeyla,SO,9.4942,50.8122,75.65,78,53,32.68,broken clouds
113,Lorengau,PG,-2.0226,147.2712,81.91,72,65,8.55,broken clouds
114,Souillac,MU,-20.5167,57.5167,70.18,68,40,17.27,scattered clouds
115,Tabuk,PH,17.4189,121.4443,73.76,93,12,2.55,few clouds
116,Aklavik,CA,68.2191,-135.0107,74.01,44,75,8.55,broken clouds
117,Berlevag,NO,70.8578,29.0864,57.0,87,0,10.36,clear sky
118,Ponta Do Sol,PT,32.6667,-17.1,72.23,72,4,5.12,clear sky
119,Marzuq,YE,14.4,46.4667,77.34,38,100,3.33,overcast clouds
120,Severnyy,RU,50.677,36.5532,69.84,68,75,4.47,light intensity shower rain
121,Usvyaty,RU,55.7456,30.7533,56.32,95,92,4.03,overcast clouds
122,Kijang,KR,35.2442,129.2139,78.53,88,100,1.74,overcast clouds
123,Mayo,US,38.8876,-76.5119,84.94,65,20,4.61,few clouds
124,Kitaibaraki,JP,36.7833,140.75,73.15,85,15,1.92,few clouds
125,Mount Gambier,AU,-37.8333,140.7667,47.43,62,100,11.16,light rain
126,Bambous Virieux,MU,-20.3428,57.7575,70.21,68,40,17.27,scattered clouds
127,Impfondo,CG,1.6381,18.0667,77.16,69,93,1.57,overcast clouds
128,Tiznit,MA,29.5833,-9.5,91.44,10,26,2.55,scattered clouds
129,Kyra,RU,49.5776,111.9753,51.67,76,100,5.03,overcast clouds
130,Fortuna,US,40.5982,-124.1573,72.93,70,0,4.0,clear sky
131,Huarmey,PE,-10.0681,-78.1522,67.12,74,28,11.5,scattered clouds
132,Muros,ES,42.7762,-9.0603,64.09,85,27,3.98,scattered clouds
133,Lanzhou,CN,36.0564,103.7922,71.47,86,100,4.23,light rain
134,Bonavista,CA,48.6499,-53.1147,59.72,71,86,14.72,overcast clouds
135,Hilo,US,19.7297,-155.09,84.27,86,100,5.99,overcast clouds
136,Grootfontein,NA,-19.5667,18.1167,51.37,46,0,3.44,clear sky
137,College,US,64.8569,-147.8028,69.58,83,75,0.0,smoke
138,Kabanjahe,ID,3.1001,98.4908,61.38,94,100,3.42,overcast clouds
139,Hobyo,SO,5.3505,48.5268,76.42,79,100,22.97,overcast clouds
140,Mahebourg,MU,-20.4081,57.7,70.25,68,40,17.27,scattered clouds
141,Pevek,RU,69.7008,170.3133,32.85,86,93,3.44,overcast clouds
142,Ilulissat,GL,69.2167,-51.1,42.82,87,100,4.61,overcast clouds
143,Petukhovo,RU,55.0692,67.9019,64.92,84,71,7.25,broken clouds
144,Cabo San Lucas,MX,22.8909,-109.9124,99.61,31,20,16.11,few clouds
145,Tocopilla,CL,-22.092,-70.1979,63.36,68,100,4.97,overcast clouds
146,Qaanaaq,GL,77.484,-69.3632,43.77,73,100,5.5,overcast clouds
147,Saskylakh,RU,71.9167,114.0833,46.69,81,100,11.68,light rain
148,Mikun,RU,62.3547,50.0771,62.11,71,43,3.91,scattered clouds
149,Wuning,CN,29.2589,120.2311,81.16,83,100,1.92,overcast clouds
150,Kirakira,SB,-10.4544,161.9205,80.71,77,21,3.87,few clouds
151,Inirida,CO,3.8653,-67.9239,76.05,97,97,2.68,overcast clouds
152,Carutapera,BR,-1.195,-46.02,75.47,92,78,7.78,broken clouds
153,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,4.61,mist
154,Nikolskoye,RU,59.7035,30.7861,60.69,98,23,3.09,few clouds
155,Cidreira,BR,-30.1811,-50.2056,63.97,86,100,9.84,overcast clouds
156,Port Elizabeth,ZA,-33.918,25.5701,55.69,91,20,11.5,few clouds
157,Touros,BR,-5.1989,-35.4608,76.51,81,11,15.97,few clouds
158,Moose Factory,CA,51.2585,-80.6094,66.2,72,100,3.44,overcast clouds
159,Dingle,PH,10.9995,122.6711,76.15,92,99,5.39,overcast clouds
160,Narsaq,GL,60.9167,-46.05,57.42,79,9,6.46,clear sky
161,Fairbanks,US,64.8378,-147.7164,69.6,83,40,0.0,smoke
162,Carnarvon,AU,-24.8667,113.6333,59.41,65,0,17.56,clear sky
163,Necochea,AR,-38.5473,-58.7368,50.36,67,100,9.71,overcast clouds
164,Nyurba,RU,63.2842,118.3319,57.78,91,25,0.69,scattered clouds
165,Ternate,ID,0.8,127.4,79.34,82,94,5.86,overcast clouds
166,Pierre,US,44.3683,-100.351,91.85,44,0,16.11,clear sky
167,Provideniya,RU,64.3833,-173.3,51.91,87,75,7.0,broken clouds
168,Georgetown,MY,5.4112,100.3354,82.89,86,20,4.61,thunderstorm with light rain
169,Maneadero,MX,31.7167,-116.5667,79.68,52,15,10.58,few clouds
170,Szolnok,HU,47.1833,20.2,64.72,53,75,11.5,broken clouds
171,Poddorye,RU,57.4695,31.1156,56.89,95,86,3.18,overcast clouds
172,Coihaique,CL,-45.5752,-72.0662,30.15,80,75,3.44,broken clouds
173,Ocho Rios,JM,18.4025,-77.1048,85.8,67,97,11.3,overcast clouds
174,La Libertad,EC,-2.2333,-80.9,71.26,78,75,10.36,broken clouds
175,Niigata,JP,37.9022,139.0236,78.75,78,75,2.3,broken clouds
176,Portland,US,45.5234,-122.6762,81.21,49,75,8.05,broken clouds
177,Liuzhou,CN,24.3126,109.3892,79.16,88,82,2.24,broken clouds
178,Neuquen,AR,-38.9516,-68.0591,48.09,49,0,5.75,clear sky
179,Svetlogorsk,BY,52.6333,29.7333,56.91,90,100,7.0,overcast clouds
180,Ixtapa,MX,20.7,-105.2,88.23,74,40,11.5,scattered clouds
181,Karratha,AU,-20.7377,116.8463,63.93,25,0,5.86,clear sky
182,Katsuura,JP,35.1333,140.3,75.43,92,7,2.8,clear sky
183,San Patricio,US,28.017,-97.5169,103.17,31,7,14.52,clear sky
184,Kavaratti,IN,10.5669,72.642,81.18,80,100,20.92,overcast clouds
185,Talnakh,RU,69.4865,88.3972,47.21,61,26,6.44,scattered clouds
186,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,6.91,broken clouds
187,Campbell River,CA,50.0163,-125.2446,68.59,77,100,6.91,overcast clouds
188,Raudeberg,NO,61.9875,5.1352,50.95,75,93,9.26,overcast clouds
189,Riachao Das Neves,BR,-11.7461,-44.91,73.2,40,0,3.76,clear sky
190,Airai,TL,-8.9266,125.4092,54.88,91,85,3.76,overcast clouds
191,Hokitika,NZ,-42.7167,170.9667,48.11,65,63,7.16,broken clouds
192,Baykit,RU,61.67,96.37,49.44,89,0,3.83,clear sky
193,Fare,PF,-16.7,-151.0167,77.88,77,49,19.46,light rain
194,Atasu,KZ,48.6814,71.6433,61.0,74,60,8.39,broken clouds
195,San Quintin,MX,30.4833,-115.95,74.52,64,6,16.42,clear sky
196,Tsogni,GA,-2.7942,10.0988,67.57,86,21,4.76,few clouds
197,Antofagasta,CL,-23.65,-70.4,58.28,71,100,5.3,overcast clouds
198,Sovetskiy,RU,61.3614,63.5842,63.52,60,57,5.39,broken clouds
199,Mpongwe,ZM,-13.5091,28.155,53.01,74,0,4.72,clear sky
200,Camopi,GF,3.1655,-52.3158,73.53,98,31,2.89,scattered clouds
201,Gusau,NG,12.1628,6.6614,78.31,76,60,7.96,light rain
202,Jiazi,CN,22.8779,116.067,80.35,88,72,1.48,broken clouds
203,Vanimo,PG,-2.6741,141.3028,77.49,87,95,4.47,overcast clouds
204,Dicabisagan,PH,17.0818,122.4157,79.39,88,39,1.97,scattered clouds
205,Sainte-Rose,GP,16.3324,-61.6979,84.24,74,20,16.11,few clouds
206,Bayji,IQ,34.9311,43.487,91.62,18,0,20.76,clear sky
207,Aguimes,ES,27.9054,-15.4461,83.03,30,0,31.07,clear sky
208,Saldanha,ZA,-33.0117,17.9442,50.05,75,57,2.84,broken clouds
209,Alindao,CF,5.0267,21.2088,70.21,93,98,0.49,overcast clouds
210,Victoria,HK,22.2855,114.1577,85.32,83,90,5.01,overcast clouds
211,Srednekolymsk,RU,67.45,153.6833,68.54,42,33,15.84,scattered clouds
212,Roebourne,AU,-20.7833,117.1333,63.61,29,0,8.5,clear sky
213,Gadung,PH,6.8025,124.02,79.3,72,91,3.91,overcast clouds
214,Tuatapere,NZ,-46.1333,167.6833,36.1,87,76,4.59,broken clouds
215,Kavieng,PG,-2.5744,150.7967,82.56,75,58,12.46,light rain
216,Broome,US,42.2506,-75.833,81.66,39,0,1.99,clear sky
217,Marataizes,BR,-21.0433,-40.8244,71.73,81,65,17.49,broken clouds
218,Pisco,PE,-13.7,-76.2167,64.45,72,0,20.71,clear sky
219,Bengkulu,ID,-3.8004,102.2655,73.89,89,92,4.12,overcast clouds
220,Saint-Francois,FR,46.4154,3.9054,63.84,68,0,2.3,clear sky
221,Port-Cartier,CA,50.0334,-66.8654,62.82,73,100,3.2,light rain
222,Sinnamary,GF,5.3833,-52.95,77.25,87,58,8.41,broken clouds
223,Narasannapeta,IN,18.4167,84.05,79.61,87,74,7.16,light rain
224,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,68,75,6.53,broken clouds
225,Emerald,AU,-23.5333,148.1667,45.77,63,0,10.71,clear sky
226,Limbang,MY,4.75,115.0,73.51,94,100,2.15,overcast clouds
227,Slave Lake,CA,55.2834,-114.769,69.78,56,75,18.41,broken clouds
228,Tinskoy,RU,56.1525,96.9161,56.17,95,82,4.43,broken clouds
229,Ambovombe,MG,-25.1667,46.0833,63.86,78,0,6.38,clear sky
230,Ciudad Bolivar,VE,8.1222,-63.5497,83.3,70,80,11.23,broken clouds
231,Naze,JP,28.3667,129.4833,79.72,87,15,6.22,few clouds
232,Novo Aripuana,BR,-5.1206,-60.3797,84.6,54,46,2.17,scattered clouds
233,Togur,RU,58.3631,82.8265,55.29,79,16,6.46,few clouds
234,Nagua,DO,19.3832,-69.8474,84.51,100,75,6.91,broken clouds
235,Fenyi,CN,27.8112,114.6681,79.59,88,88,2.28,overcast clouds
236,Port Hedland,AU,-20.3167,118.5667,50.05,66,2,8.05,clear sky
237,Olga,RU,43.7444,135.2892,66.0,86,100,3.22,overcast clouds
238,Cozumel,MX,20.5083,-86.9458,89.67,68,75,5.99,broken clouds
239,Krasnopavlivka,UA,49.1372,36.3272,64.6,88,100,7.07,light rain
240,Chabahar,IR,25.2919,60.643,84.07,82,100,9.89,overcast clouds
241,Uruzgan,AF,32.8333,66.0,78.87,16,0,3.0,clear sky
242,Macklin,CA,52.3334,-109.9348,71.94,42,61,11.5,broken clouds
243,Rapid Valley,US,44.0625,-103.1463,95.76,26,0,17.27,clear sky
244,Gat,IL,31.61,34.7642,78.82,100,12,5.53,few clouds
245,Adrar,MR,20.5022,-10.0711,99.73,8,0,7.7,clear sky
246,Ahuimanu,US,21.4447,-157.8378,85.71,63,75,19.57,broken clouds
247,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,81,25,4.81,scattered clouds
248,Lasa,IT,46.6166,10.7002,65.28,85,9,6.31,clear sky
249,Chiang Klang,TH,19.2938,100.8617,73.8,99,80,0.76,broken clouds
250,Creutzwald,FR,49.2,6.6833,65.28,76,0,2.75,clear sky
251,Yumen,CN,40.2833,97.2,69.73,55,77,10.13,broken clouds
252,Inhambane,MZ,-23.865,35.3833,67.44,75,0,11.14,clear sky
253,Sao Filipe,CV,14.8961,-24.4956,73.87,85,21,6.69,few clouds
254,Wodonga,AU,-36.1167,146.8833,39.96,100,98,2.93,overcast clouds
255,North Branch,US,45.5113,-92.9802,80.58,59,54,14.47,broken clouds
256,Ugoofaaru,MV,5.6667,73.0,81.21,80,100,15.14,overcast clouds
257,Pangnirtung,CA,66.1451,-65.7125,51.78,60,95,4.27,overcast clouds
258,Malanje,AO,-9.5402,16.341,65.77,37,14,2.48,few clouds
259,Sola,VU,-13.8833,167.55,81.61,68,12,11.43,few clouds
260,Massaguet,TD,12.4755,15.4365,85.06,57,85,12.26,overcast clouds
261,Vytegra,RU,61.0064,36.4481,58.46,98,86,4.74,overcast clouds
262,Eureka,US,40.8021,-124.1637,73.2,70,12,7.0,few clouds
263,Deputatskiy,RU,69.3,139.9,60.64,55,100,3.53,overcast clouds
264,Faanui,PF,-16.4833,-151.75,78.46,75,91,19.24,light rain
265,Labuhan,ID,-6.8844,112.2051,75.34,88,21,7.4,few clouds
266,Lima,PE,-12.0432,-77.0282,62.91,82,100,11.5,overcast clouds
267,Bundaberg,AU,-24.85,152.35,49.21,83,0,3.0,clear sky
268,Hamilton,US,39.1834,-84.5333,88.0,52,40,9.22,scattered clouds
269,Lakes Entrance,AU,-37.8811,147.981,44.08,73,100,6.02,overcast clouds
270,Sohbatpur,PK,28.5202,68.5434,91.71,59,86,5.73,overcast clouds
271,Bandar-E Lengeh,IR,26.5579,54.8807,93.31,66,100,9.22,overcast clouds
272,Mao,ES,39.8885,4.2658,73.96,78,0,4.61,clear sky
273,Madona,LV,56.8533,26.217,52.41,88,97,3.24,overcast clouds
274,Vao,NC,-22.6667,167.4833,76.33,80,45,23.67,scattered clouds
275,Lufilufi,WS,-13.8745,-171.5986,82.18,80,27,17.9,light rain
276,Panguipulli,CL,-39.6333,-72.3333,40.17,98,86,3.09,overcast clouds
277,Porto Santo,PT,33.072,-16.3415,68.38,83,75,20.71,broken clouds
278,Bima,ID,-8.4667,118.7167,75.7,90,60,3.94,broken clouds
279,Hofn,IS,64.2539,-15.2082,50.34,97,100,14.38,overcast clouds
280,Manaure,CO,11.7751,-72.4445,88.45,58,100,22.64,overcast clouds
281,Flinders,AU,-34.5833,150.8552,49.37,93,43,8.14,scattered clouds
282,Nanortalik,GL,60.1432,-45.2371,43.75,83,51,4.43,broken clouds
283,Gambo,CF,4.6482,22.2633,68.85,97,100,1.81,overcast clouds
284,Progreso,MX,21.2833,-89.6667,94.1,64,44,11.32,scattered clouds
285,Ameyalco,MX,19.3167,-99.4667,75.96,40,75,4.61,broken clouds
286,Wagar,SD,16.1525,36.2032,84.9,54,100,10.13,overcast clouds
287,Lakhipur,IN,26.0299,90.3041,79.27,88,89,2.57,overcast clouds
288,Dandong,CN,40.1292,124.3947,69.49,93,63,4.12,broken clouds
289,Montmagny,FR,48.9734,2.3469,73.96,59,0,9.22,clear sky
290,Cabedelo,BR,-6.9811,-34.8339,77.67,81,11,14.27,few clouds
291,Spearfish,US,44.4908,-103.8594,92.26,26,0,8.05,clear sky
292,Inverness,GB,57.4791,-4.224,55.98,90,20,3.44,few clouds
293,Komsomolskiy,UZ,40.4272,71.7189,75.92,38,34,2.3,scattered clouds
294,Latung,PH,5.5,120.8833,82.87,71,98,6.04,overcast clouds
295,Ardee,IE,53.8597,-6.5406,59.83,92,44,4.97,scattered clouds
296,Westport,US,41.1415,-73.3579,84.99,43,0,8.05,clear sky
297,Acajutla,SV,13.5928,-89.8275,84.45,69,64,5.79,broken clouds
298,Ucluelet,CA,48.9329,-125.5528,62.91,92,99,4.7,overcast clouds
299,Tessalit,ML,20.1986,1.0114,96.62,9,40,6.44,scattered clouds
300,Republic,US,37.12,-93.4802,93.87,40,0,4.61,clear sky
301,Port Hardy,CA,50.6996,-127.4199,64.58,77,75,12.66,broken clouds
302,Manyana,BW,-23.4,21.7167,48.38,45,0,8.19,clear sky
303,Markova,UA,48.6758,24.4138,50.77,91,84,5.1,broken clouds
304,Samarai,PG,-10.6167,150.6667,81.46,73,28,11.05,scattered clouds
305,Padang,ID,-0.9492,100.3543,76.28,85,99,4.03,overcast clouds
306,Husavik,IS,66.0449,-17.3389,53.37,94,100,1.99,overcast clouds
307,Coihueco,CL,-36.6167,-71.8333,48.94,81,75,9.22,broken clouds
